code,date,open,high,low,close,volume,value,return
300,2018-03-15,4058.706,4098.989,4058.706,4096.163,881611.56,12688245.27,0.5602
906,2018-03-15,4414.698,4450.311,4414.014,4446.238,1603350.77,20985750.71,0.3768
905,2018-03-15,6172.853,6203.242,6117.597,6180.111,721739.21,8297505.44,-0.1487
852,2018-03-15,6809.854,6838.893,6743.396,6824.052,912240.58,10137041.19,-0.1578
300,2018-03-16,4096.886,4110.045,4055.822,4056.423,848961.88,12212534.2,-0.9702
906,2018-03-16,4447.056,4461.307,4407.556,4407.943,1499697.21,19776872.92,-0.8613
905,2018-03-16,6181.381,6205.868,6146.306,6146.306,650735.34,7564338.72,-0.547
852,2018-03-16,6821.228,6861.683,6805.926,6805.926,874553.39,9694505.7,-0.2656
300,2018-03-19,4054.617,4074.518,4033.522,4074.248,815028.82,11818381.51,0.4394
852,2018-03-19,6796.348,6856.089,6773.547,6820.502,841734.0,9536409.31,0.2142
905,2018-03-19,6142.52,6186.614,6118.295,6153.834,672332.14,7868188.97,0.1225
906,2018-03-19,4405.787,4426.83,4384.405,4423.707,1487360.96,19686570.49,0.3576
906,2018-03-20,4392.54,4432.018,4385.458,4430.171,1480809.42,19040396.76,0.1461
852,2018-03-20,6768.712,6826.78,6749.813,6822.255,813403.06,9142298.18,0.0257
300,2018-03-20,4045.743,4080.193,4040.308,4077.704,806052.8,11198023.4,0.0848
905,2018-03-20,6109.605,6176.496,6091.504,6173.698,674756.62,7842373.35,0.3228
906,2018-03-21,4447.303,4465.614,4395.915,4408.508,1770966.5,23185652.8,-0.489
905,2018-03-21,6182.109,6224.556,6125.135,6129.204,794871.61,9252611.61,-0.7207
852,2018-03-21,6826.222,6875.519,6766.935,6771.055,958958.95,10817108.58,-0.7505
300,2018-03-21,4097.024,4110.116,4046.241,4061.05,976094.88,13933041.19,-0.4084
905,2018-03-22,6130.048,6161.375,6074.657,6101.228,674074.41,7813586.67,-0.4564
852,2018-03-22,6767.265,6804.244,6729.164,6764.69,858089.88,9503596.79,-0.094
300,2018-03-22,4062.067,4072.377,4003.721,4020.349,890952.59,12766433.8,-1.0022
906,2018-03-22,4409.484,4423.462,4352.259,4370.517,1565027.01,20580020.47,-0.8618
300,2018-03-23,3896.736,3928.511,3834.937,3904.936,1800804.49,21890503.13,-2.8707
906,2018-03-23,4236.088,4273.596,4151.513,4219.333,3014475.09,33995009.9,-3.4592
905,2018-03-23,5913.368,5978.423,5722.773,5787.152,1213670.61,12104506.77,-5.1478
852,2018-03-23,6565.975,6625.104,6336.247,6402.893,1323732.57,13407351.85,-5.3483
852,2018-03-26,6313.896,6515.332,6257.964,6515.251,947031.07,10081234.99,1.7548
906,2018-03-26,4171.989,4220.815,4142.368,4220.583,1999120.4,24841423.77,0.0296
300,2018-03-26,3862.695,3883.901,3829.916,3879.893,1151391.28,15660452.72,-0.6413
905,2018-03-26,5715.352,5902.959,5675.366,5902.959,847729.13,9180971.05,2.0011
300,2018-03-27,3927.492,3936.778,3881.873,3913.269,1137007.11,16229154.66,0.8602
906,2018-03-27,4268.818,4281.311,4237.297,4271.892,2028999.82,26883041.61,1.2157
905,2018-03-27,5956.236,6043.053,5956.236,6034.775,891992.71,10653886.95,2.233
852,2018-03-27,6570.418,6692.967,6570.418,6680.844,1101957.07,12576517.18,2.5416
300,2018-03-28,3865.045,3907.281,3835.883,3842.716,1014949.08,15584895.11,-1.8029
906,2018-03-28,4219.648,4267.122,4198.24,4203.645,1767940.02,24682421.93,-1.5976
